,Products,Reciept_ID,Serial No.,Quantity,Sales Price,Unit Price,Cost_Price,Date and Time
0,65GX10 NODLES BOWL PROMO MAGI,00001,312253,25,9367,374.68,355.946,01/01/2018 09:56 AM
1,250ML FLAVOURED MILK ZAFRAN DEL,00001,312254,5,7370,1474.0,1400.3,01/01/2018 09:56 AM
2,"FERRARI F 19"" LCD MONITOR + TV",00001,126702,55,4308,78.32727272727273,74.41090909090909,01/01/2018 09:56 AM
3,SNOWMAN PERMANENT MARKER70 BLUE,000010,130384,25,7853,314.12,298.414,01/01/2018 09:56 AM
4,DENIM PANT,000010,111760,30,8245,274.8333333333333,261.09166666666664,01/01/2018 09:56 AM
5,NOKIA 5000 CELL PHONE,000010,137506,28,8378,299.2142857142857,284.25357142857143,01/01/2018 09:56 AM
6,MICRO FIBRIC SPORTS TRACK SUIT,000010,149002,3,2798,932.6666666666666,886.0333333333333,01/04/2018 02:33 AM
7,TOUCHMATE NOTEBOOK COOLER PAD,000010,102943,99,6623,66.8989898989899,63.5540404040404,01/04/2018 02:33 AM
8,SKIDS GIRLS SHIRT WT APLIQ 5-1,000010,111803,37,3722,100.5945945945946,95.56486486486486,01/04/2018 02:33 AM
9,"ANGLE GRINDER 2000W 7"" B&D",000010,156036,4,1394,348.5,331.075,01/04/2018 02:33 AM
10,50GM NESCAFE MATINAL COFFEE,0000100,123822,44,6742,153.22727272727272,145.5659090909091,01/04/2018 02:33 AM
11,WOVEN SHIRT,0000100,113076,42,5079,120.92857142857143,114.88214285714285,01/04/2018 02:33 AM
12,MENS TROUSER FRENCH TERRY,0000100,135224,23,9583,416.6521739130435,395.8195652173913,01/04/2018 02:33 AM
13,NOKIA 2600 CELL PHONE,0000100,130741,64,7946,124.15625,117.9484375,01/04/2018 08:42 AM
14,KNITTED WITH FRILL,0000100,112085,74,3724,50.32432432432432,47.80810810810811,01/04/2018 08:42 AM
15,MENS TROUSER FRENCH TERRY,0000100,135224,66,9780,148.1818181818182,140.77272727272728,01/04/2018 08:42 AM
16,"ANGLE GRINDER 2100W 9"" BOSCH",0000100,156028,39,425,10.897435897435898,10.352564102564102,01/04/2018 08:42 AM
17,PANASONIC HIFI CS-VK750,0000101,124249,46,2927,63.630434782608695,60.44891304347826,01/04/2018 08:42 AM
18,PAN READY HAMOOR -W-,0000101,123714,80,8957,111.9625,106.36437500000001,01/04/2018 08:42 AM
